keyword,image_url,house_url,price,bedroom_s_,bathroom_s_,square_feet,status,address
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$7,440/mo",2,2,1171,Apartment for rent,"EAGLE + WEST, 1 Eagle St #2435, Brooklyn, NY 11222"
Manhattan New York NY,https://photos.zillowstatic.com/fp/2c821bc05e687ead33a13a230f176082-p_e.jpg,https://www.zillow.com/b/19-dutch-manhattan-ny-B3qnH3/,"$3,971+",0,null,null,19 Dutch,"19 Dutch St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/9ef7a920e751ad5d772358b236ddee67-p_e.jpg,https://www.zillow.com/b/waterline-square-new-york-ny-Bcq6BC/,"$4,791+",0,null,null,Waterline Square,"400 W 61st St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/0c1099a1882a904acc8cedcd83ebd9dc-p_e.jpg,https://www.zillow.com/b/aalto57-new-york-ny-5twVDd/,"$3,900+",0,null,null,Aalto57,"1065 2nd Ave, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$10,310/mo",3,2,1445,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 1709, Brooklyn, NY 11222"
Manhattan New York NY,https://photos.zillowstatic.com/fp/43d0f6aa5914f6b4e9d422f53dfc38f1-p_e.jpg,https://www.zillow.com/b/the-olivia-new-york-ny-5Xj4Kc/,"$3,455+",0,null,null,The Olivia,"315 W 33rd St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/dc5346c95dc54f2af063691cee8d0b99-p_e.jpg,https://www.zillow.com/b/one-blue-slip-brooklyn-ny-BLxDrJ/,"$3,680+",0,null,null,One Blue Slip,"1 Blue Slip, Brooklyn, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/a615950a98c14a9c154a503d08ca3f3b-p_e.jpg,https://www.zillow.com/b/avalon-willoughby-square-brooklyn-ny-637qbH/,"$3,326+",0,null,null,Avalon Willoughby Square,"214 Duffield St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/c279950e4482537bd44ef4f9f34deff6-p_e.jpg,https://www.zillow.com/b/the-chelsea-new-york-ny-5XT2qW/,"$4,302+",0,null,null,The Chelsea,"160 W 24th St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/a3bbeac3771c65c7a0ce9221b18e20e9-p_e.jpg,https://www.zillow.com/b/461-dean-brooklyn-ny-97cKJr/,"$3,545+",0,null,null,461 Dean,"461 Dean St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/a875d8136b9e924ec4eceecfee94ab58-p_e.jpg,https://www.zillow.com/b/avalon-clinton-new-york-ny-5XVMSF/,"$3,485+",0,null,null,Avalon Clinton,"515 W 52nd St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/c27077a52fea660d4d845f16a6b5c325-p_e.jpg,https://www.zillow.com/b/ava-dobro-brooklyn-ny-39Ct/,"$3,174+",0,null,null,AVA DoBro,"100 Willoughby St, Brooklyn, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/fee06e05473e39fde8b41ef212f6f89b-p_e.jpg,https://www.zillow.com/b/the-bellslip-brooklyn-ny-C5rsn3/,"$3,000+",0,null,null,THE BELLSLIP,"1 Bell Slip, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/ffbd0947f58175a0adea001c2dc22f3a-p_e.jpg,https://www.zillow.com/b/the-howell-manhattan-ny-3yr5/,"$4,080+",0,null,null,The Howell,"84 William St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/23d2a3f6d36712a1ee52171797eb39f7-p_e.jpg,https://www.zillow.com/b/the-ashley-new-york-ny-5Xj4Ns/,"$3,540+",0,null,null,The Ashley,"400 W 63rd St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/199a950e1f07a384913fb2ecd1b52ae2-p_e.jpg,https://www.zillow.com/b/1-flatbush-apartments-brooklyn-ny-97cKmR/,"$5,821/mo",2,2,null,Apartment for rent,"1 Flatbush Apartments, 558 Fulton St #1205, Brooklyn, NY 11217"
Manhattan New York NY,https://photos.zillowstatic.com/fp/4d4fbc23c42dc01516811d9212aac640-p_e.jpg,https://www.zillow.com/b/the-capitol-new-york-ny-9gq5Q2/,"$3,917+",0,null,null,The Capitol,"776 6th Ave, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/2e049e53ee864b2969b4243044511797-p_e.jpg,https://www.zillow.com/b/brooklyn-point-brooklyn-ny-97ZkCM/,"$5,075+",1,null,null,Brooklyn Point,"138 Willoughby St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/f9af2351f0b229f953050f20b41683db-p_e.jpg,https://www.zillow.com/b/avalon-midtown-west-new-york-ny-5XVMHG/,"$3,488+",0,null,null,Avalon Midtown West,"250 W 50th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/5ef699ecd58aa2ec8c73ad0f3bc90e25-p_e.jpg,https://www.zillow.com/b/anagram-nomad-new-york-ny-9hJFty/,"$5,094+",1,null,null,Anagram Nomad,"10 E 29th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/27bbda9e665ee2f94a02408a73d0fa5e-p_e.jpg,https://www.zillow.com/b/the-eugene-new-york-ny-B73Y66/,"$4,011+",0,null,null,The Eugene,"435 W 31st St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/1a3387202523c450e5372272a76e62bc-p_e.jpg,https://www.zillow.com/b/avalon-brooklyn-bay-brooklyn-ny-579X/,"$2,859+",1,null,null,Avalon Brooklyn Bay,"1524 Sheepshead Bay Rd, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/5a6194c7a0678ef07e9116d87aac8b99-p_e.jpg,https://www.zillow.com/b/gotham-west-manhattan-ny-5XmBQy/,"$3,681+",0,null,null,Gotham West,"550 W 45th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/8966ebc70117d6f8036c4e12b158abd7-p_e.jpg,https://www.zillow.com/b/avalon-morningside-park-new-york-ny-5XTGpQ/,"$4,034+",0,null,null,Avalon Morningside Park,"1 Morningside Dr, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/eeda582ab67a88c87b4453f2ef33536c-p_e.jpg,https://www.zillow.com/b/two-blue-slip-brooklyn-ny-BW4qmH/,"$3,423+",0,null,null,Two Blue Slip,"2 Blue Slip, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/67498866a07b9d06f888a356bb4451e0-p_e.jpg,https://www.zillow.com/b/henry-hall-manhattan-ny-B9LS2Q/,"$3,673+",0,null,null,Henry Hall,"515 W 38th St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/999f06ece000eaab179302c53b07f01d-p_e.jpg,https://www.zillow.com/b/magnolia-dumbo-brooklyn-ny-97Zkk6/,"$3,786+",0,null,null,Magnolia Dumbo,"160 Front St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/29538bbb0a35c93778c03748039bc2b4-p_e.jpg,https://www.zillow.com/b/avalon-bowery-place-new-york-ny-5XVHKv/,"$4,068+",0,null,null,Avalon Bowery Place,"11 E 1st St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,475/mo",1,1,765,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 3404, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,285/mo",1,1,621,Apartment for rent,"EAGLE + WEST, 1 Eagle St PENTHOUSE 2P, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,370/mo",1,1,563,Apartment for rent,"EAGLE + WEST, 1 Eagle St PENTHOUSE 2K, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,295/mo",1,1,813,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 1708, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,505/mo",1,1,765,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 3604, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$6,935/mo",2,2,1133,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 2308, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/2d6f02db58a86f99b38468a3034fd172-p_e.jpg,https://www.zillow.com/b/180-montague-brooklyn-ny-5XyZr5/,"$3,477+",0,null,null,180 Montague,"180 Montague St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/2110408efad4c81b3096ea69fc51a5fe-p_e.jpg,https://www.zillow.com/b/the-aldyn-new-york-ny-2BHy/,"$4,105+",0,null,null,The Aldyn,"60 Riverside Blvd, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$7,710/mo",2,2,1284,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 1503, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$6,965/mo",2,2,1133,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 2508, Brooklyn, NY 11222"
Manhattan New York NY,https://photos.zillowstatic.com/fp/b08f54149ccf327b70bab2c2e6dcb48e-p_e.jpg,https://www.zillow.com/b/beatrice-manhattan-ny-5XY24b/,"$4,284+",0,null,null,Beatrice,"105 W 29th St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/2aa2e914da0a370ad33539a9df5a64bf-p_e.jpg,https://www.zillow.com/b/ocean-drive-brooklyn-ny-BdxsGq/,"$2,478+",0,null,null,Ocean Drive,"1 Ocean Dr, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/ab1dcb9187a54a2371ac766dc5a5290a-p_e.jpg,https://www.zillow.com/b/the-westmont-manhattan-ny-5XjXRH/,"$4,375/mo",1,1,650,Apartment for rent,"The Westmont, 730 Columbus Ave #1-15J, New York, NY 10025"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$4,785/mo",1,1,669,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 1105, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$10,675/mo",3,2,1428,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 2207, Brooklyn, NY 11222"
Manhattan New York NY,https://photos.zillowstatic.com/fp/2af3de4b25cce04aa83771e5fee1273e-p_e.jpg,https://www.zillow.com/b/10-hanover-square-new-york-ny-5hC6r4/,"$3,253+",0,null,null,10 Hanover Square,"10 Hanover Sq, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/c12a7bcf7548ec4a7fd758509a2edf55-p_e.jpg,https://www.zillow.com/b/rivereast-manhattan-ny-5Xj4MC/,"$3,539+",0,null,null,RiverEast,"408 E 92nd St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/a00177c0d26189ae63f2d789c2654bb1-p_e.jpg,https://www.zillow.com/b/360-wythe-brooklyn-ny-97dwty/,"$6,752/mo",3,2,null,Apartment for rent,"360 Wythe, 360 Wythe Ave #401, Brooklyn, NY 11249"
Manhattan New York NY,https://photos.zillowstatic.com/fp/30a4f79a399ab5ddfc2f2aeae2e79689-p_e.jpg,https://www.zillow.com/b/the-lanthian-manhattan-ny-5Xj6v8/,"$4,433+",0,null,null,The Lanthian,"377 E 33rd St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,575/mo",1,1,757,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 2504, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,320/mo",1,1,563,Apartment for rent,"EAGLE + WEST, 1 Eagle St PENTHOUSE 3K, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$4,145/mo",0,1,552,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 3506, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/8a441d09513b76201c9b9c6196016b03-p_e.jpg,https://www.zillow.com/b/the-brooklyner-brooklyn-ny-5XrT9T/,"$3,126+",0,null,null,The Brooklyner,"111 Lawrence St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/ab1dcb9187a54a2371ac766dc5a5290a-p_e.jpg,https://www.zillow.com/b/the-westmont-manhattan-ny-5XjXRH/,"$4,102+",1,null,null,The Westmont,"730 Columbus Ave, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/f669ca5fae39e50ff135fcff4f1f5a14-p_e.jpg,https://www.zillow.com/b/gateway-new-york-ny-5XjY8c/,"$3,520+",0,null,null,Gateway,"389 S End Ave, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/2af3de4b25cce04aa83771e5fee1273e-p_e.jpg,https://www.zillow.com/b/10-hanover-square-new-york-ny-5hC6r4/,"$5,214/mo",1,1,781,Apartment for rent,"10 Hanover Square, 10 Hanover Sq APT 4F, New York, NY 10005"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$5,335/mo",1,1,621,Apartment for rent,"EAGLE + WEST, 1 Eagle St PENTHOUSE 1P, Brooklyn, NY 11222"
Manhattan New York NY,https://photos.zillowstatic.com/fp/75a790893f58ba7ad74e0e0b05d00902-p_e.jpg,https://www.zillow.com/b/renoir-house-new-york-ny-5Xjjjc/,"$3,570+",0,null,null,Renoir House,"225 E 63rd St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$4,435/mo",1,1,635,Apartment for rent,"EAGLE + WEST, 1 Eagle St APT 2509, Brooklyn, NY 11222"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$7,470/mo",2,2,1171,Apartment for rent,"EAGLE + WEST, 1 Eagle St #2635, Brooklyn, NY 11222"
Manhattan New York NY,https://photos.zillowstatic.com/fp/39db1832519a9c3c8fe50d2f7a1292d8-p_e.jpg,https://www.zillow.com/b/95-wall-new-york-ny-5XSsMP/,"$3,297+",0,null,null,95 Wall,"95 Wall St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$4,847/mo",1,1,804,Apartment for rent,"EAGLE + WEST, 1 Eagle St #2521, Brooklyn, NY 11222"
Manhattan New York NY,https://photos.zillowstatic.com/fp/66d547362f6d43065abe28aa4f347ddf-p_e.jpg,https://www.zillow.com/homedetails/29-Audubon-Ave-15-New-York-NY-10032/2058463885_zpid/,"$2,550/mo",3,1,null,Apartment for rent,"29 Audubon Ave #15, New York, NY 10032"
Manhattan New York NY,https://photos.zillowstatic.com/fp/98bbcc830d50e3b02a1637080ef946fb-p_e.jpg,https://www.zillow.com/b/1761-amsterdam-ave-new-york-ny-97RPbt/,"$2,450+",3,null,null,For Rent,"1761 Amsterdam Ave, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/2068b8ff00081c6680774435aee99afb-p_e.jpg,https://www.zillow.com/homedetails/Brooklyn-NY-11236/2095626083_zpid/,"$2,000/mo",2,1,null,Apartment for rent,"(undisclosed Address), Brooklyn, NY 11236"
Manhattan New York NY,https://photos.zillowstatic.com/fp/13f38960c644c3147cc12fb5ecd998ba-p_e.jpg,https://www.zillow.com/b/127-w-141st-st-new-york-ny-2Ksc/,"$2,350+",2,null,null,For Rent,"127 W 141st St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/0a9c4763c6c15cf2f134334f09638e86-p_e.jpg,https://www.zillow.com/homedetails/219-W-145th-St-APT-5-New-York-NY-10039/2098112726_zpid/,"$1,995/mo",1,1,null,Apartment for rent,"219 W 145th St APT 5, New York, NY 10039"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/418e5b9f97ed4a20add24e0f2ae6aca8-p_e.jpg,https://www.zillow.com/b/664-rutland-rd-brooklyn-ny-97b3Tw/,"$2,200+",1,null,null,For Rent,"664 Rutland Rd, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/35234f4a4d6af024aecbbfe882f446d9-p_e.jpg,https://www.zillow.com/homedetails/79-Haven-Ave-APT-54-New-York-NY-10032/2112321091_zpid/,"$2,325/mo",1,1,550,Apartment for rent,"79 Haven Ave APT 54, New York, NY 10032"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/ed0b274ddfa03d0db9762db604e57317-p_e.jpg,"https://www.zillow.com/b/105-Wyona-St-Brooklyn-NY/40.67681,-73.893906_ll/","$2,500+",2,null,null,For Rent,"105 Wyona St, Brooklyn, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/9a70b63cd26db589d3cbc693b51c57b8-p_e.jpg,https://www.zillow.com/homedetails/2538-Pitkin-Ave-B-Brooklyn-NY-11208/2058452569_zpid/,"$2,299/mo",3,1.5,null,Apartment for rent,"2538 Pitkin Ave #B, Brooklyn, NY 11208"
Manhattan New York NY,https://photos.zillowstatic.com/fp/a7f901d22231a82da06724804bc98ac5-p_e.jpg,https://www.zillow.com/homedetails/184-Nagle-Ave-BASEMENT-1I-New-York-NY-10034/2058731503_zpid/,"$2,295/mo",2,1,null,Apartment for rent,"184 Nagle Ave BASEMENT 1I, New York, NY 10034"
Manhattan New York NY,https://photos.zillowstatic.com/fp/6f69efa8a257971c59a491082c6c3d10-p_e.jpg,https://www.zillow.com/b/common-at-the-heritage-new-york-ny-5BH6/,"$1,283+",0,null,null,Common at The Heritage,"1660 Madison Ave, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/86186ef2bdffc023275603ec18ecf0c3-p_e.jpg,https://www.zillow.com/homedetails/141-W-145th-St-APT-4-New-York-NY-10039/2101089206_zpid/,"$2,350/mo",2,1,null,Apartment for rent,"141 W 145th St APT 4, New York, NY 10039"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/3f0a0003728db78fc733eb0635fdcb0f-p_e.jpg,https://www.zillow.com/b/1183-new-york-ave-brooklyn-ny-4Gqr/,"$2,299+",1,null,null,For Rent,"1183 New York Ave, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/19acf98c321a75cb21b7d5890d2f5c63-p_e.jpg,https://www.zillow.com/homedetails/121-Seaman-Ave-APT-2D-New-York-NY-10034/2114053625_zpid/,"$2,100/mo",1,1,null,Apartment for rent,"121 Seaman Ave APT 2D, New York, NY 10034"
Manhattan New York NY,https://photos.zillowstatic.com/fp/5fdcb0b54b0ee1c89d15256e0924c2a1-p_e.jpg,https://www.zillow.com/homedetails/126-W-139th-St-3FL4-New-York-NY-10030/2058522506_zpid/,"$2,275/mo",1,1,null,Apartment for rent,"126 W 139th St #3FL4, New York, NY 10030"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/05a7d1b7ea21b1b2457d4198df43bff7-p_e.jpg,https://www.zillow.com/b/2242-clarendon-rd-brooklyn-ny-4Lf8/,"$2,600+",3,null,null,For Rent,"2242 Clarendon Rd, Brooklyn, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/ca8085971b7f19f5a262ffa137fc4c19-p_e.jpg,https://www.zillow.com/homedetails/370-Hawthorne-St-APT-2-Brooklyn-NY-11225/2058499599_zpid/,"$2,200/mo",1,1,850,Apartment for rent,"370 Hawthorne St APT 2, Brooklyn, NY 11225"
Manhattan New York NY,https://photos.zillowstatic.com/fp/b8977e9638e3b022a0065994b25a0931-p_e.jpg,https://www.zillow.com/homedetails/511-W-181st-St-APT-25-New-York-NY-10033/2058455091_zpid/,"$2,500/mo",2,1,null,Apartment for rent,"511 W 181st St APT 25, New York, NY 10033"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/d71cc6a33eb1cef11f22e193d5144c16-p_e.jpg,https://www.zillow.com/homedetails/67-Grove-St-1-Brooklyn-NY-11221/2097242104_zpid/,"$3,500/mo",3,2,1600,Apartment for rent,"67 Grove St #1, Brooklyn, NY 11221"
Manhattan New York NY,https://photos.zillowstatic.com/fp/3c5253892469c6b361a3ef60786feff9-p_e.jpg,https://www.zillow.com/b/columbus-square-new-york-ny-5XTGhj/,"$3,605+",0,null,null,Columbus Square,"808 Columbus Ave, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/468c48ed0f470c4ebd017935a622de17-p_e.jpg,https://www.zillow.com/b/view-34-new-york-ny-5XT4pw/,"$3,301+",0,null,null,View 34,"401 E 34th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/cb6258291a376509e1daf921933c928e-p_e.jpg,https://www.zillow.com/b/50-seaman-ave-new-york-ny-97RVCF/,"$1,850+",1,null,null,For Rent,"50 Seaman Ave, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/9ca69b8e16320431b8374e469c5cc3fb-p_e.jpg,https://www.zillow.com/homedetails/647-W-172nd-St-APT-53-New-York-NY-10032/2105013556_zpid/,"$2,450/mo",2,1,null,Apartment for rent,"647 W 172nd St APT 53, New York, NY 10032"
